Licenses,Regex
BSD_4_Clause," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-4-Clause|(.{1,32} (AND|OR)){1,4} BSD-4-Clause)"""
BSD_Protection," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-Protection|(.{1,32} (AND|OR)){1,4} BSD-Protection)"""
BSD_Source_Code," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-Source-Code|(.{1,32} (AND|OR)){1,4} BSD-Source-Code)"""
BSD_3_Clause_Attribution," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-Attribution|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-Attribution)"""
BSD_4_Clause_UC," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-4-Clause-UC|(.{1,32} (AND|OR)){1,4} BSD-4-Clause-UC)"""
bzip2_105," ""licen[cs]e(id|[- ]identifier| name)?[: ](bzip2[- ]1\.?0\.?5|(.{1,32} (AND|OR)){1,4} bzip2[- ]1\.?0\.?5)"""
bzip2_106," ""licen[cs]e(id|[- ]identifier| name)?[: ](bzip2[- ]1\.?0\.?6|(.{1,32} (AND|OR)){1,4} bzip2[- ]1\.?0\.?6)"""
CAL_10_Combined_Work_Exception," ""licen[cs]e(id|[- ]identifier| name)?[: ](CAL-1\.?0-Combined-Work-Exception|(.{1,32} (AND|OR)){1,4} CAL-1\.?0-Combined-Work-Exception)"""
CAL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CAL-1\.?0|(.{1,32} (AND|OR)){1,4} CAL-1\.?0)"""
Caldera," ""licen[cs]e(id|[- ]identifier| name)?[: ](Caldera|(.{1,32} (AND|OR)){1,4} Caldera)"""
CATOSL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](CATOSL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} CATOSL[- ]1\.?1)"""
CC0_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC0-1\.?0|(.{1,32} (AND|OR)){1,4} CC0-1\.?0)"""
