Licenses,Regex
psfrag," ""licen[cs]e(id|[- ]identifier| name)?[: ](psfrag|(.{1,32} (AND|OR)){1,4} psfrag)"""
psutils," ""licen[cs]e(id|[- ]identifier| name)?[: ](psutils|(.{1,32} (AND|OR)){1,4} psutils)"""
Python_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](Python[- ]2\.?0|(.{1,32} (AND|OR)){1,4} Python[- ]2\.?0)"""
Qhull," ""licen[cs]e(id|[- ]identifier| name)?[: ](Qhull|(.{1,32} (AND|OR)){1,4} Qhull)"""
QPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](QPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} QPL[- ]1\.?0)"""
Rdisc," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<Rdisc\>|(.{1,32} (AND|OR)){1,4} \<Rdisc\>)"""
RHeCos_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](RHeCos[- ]1\.?1|(.{1,32} (AND|OR)){1,4} RHeCos[- ]1\.?1)"""
RPSL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](RPSL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} RPSL[- ]1\.?0)"""
RPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](RPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} RPL[- ]1\.?1)"""
RPL_15," ""licen[cs]e(id|[- ]identifier| name)?[: ](RPL[- ]1\.?5|(.{1,32} (AND|OR)){1,4} RPL[- ]1\.?5)"""
RSA_MD," ""licen[cs]e(id|[- ]identifier| name)?[: ](RSA-MD|(.{1,32} (AND|OR)){1,4} RSA-MD)"""
RSCPL," ""licen[cs]e(id|[- ]identifier| name)?[: ](RSCPL|(.{1,32} (AND|OR)){1,4} RSCPL)"""
Ruby," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<Ruby\>|(.{1,32} (AND|OR)){1,4} \<Ruby\>)"""
SAX_PD," ""licen[cs]e(id|[- ]identifier| name)?[: ](SAX-PD|(.{1,32} (AND|OR)){1,4} SAX-PD)"""
Saxpath," ""licen[cs]e(id|[- ]identifier| name)?[: ](Saxpath|(.{1,32} (AND|OR)){1,4} Saxpath)"""
SCEA," ""licen[cs]e(id|[- ]identifier| name)?[: ](SCEA|(.{1,32} (AND|OR)){1,4} SCEA)"""
Sendmail," ""licen[cs]e(id|[- ]identifier| name)?[: ](Sendmail|(.{1,32} (AND|OR)){1,4} Sendmail)"""
Sendmail_823," ""licen[cs]e(id|[- ]identifier| name)?[: ](Sendmail-8\.?23|(.{1,32} (AND|OR)){1,4} Sendmail-8\.?23)"""
SHL_051," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<SHL-0\.?51|(.{1,32} (AND|OR)){1,4} \<SHL-0\.?51)"""
SHL_05," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<SHL-0\.?5|(.{1,32} (AND|OR)){1,4} \<SHL-0\.?5)"""
SGI_B_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](SGI-B-1\.?0|(.{1,32} (AND|OR)){1,4} SGI-B-1\.?0)"""
SGI_B_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](SGI-B-1\.?1|(.{1,32} (AND|OR)){1,4} SGI-B-1\.?1)"""
SGI_B_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](SGI-B-2\.?0|(.{1,32} (AND|OR)){1,4} SGI-B-2\.?0)"""
SimPL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](SimPL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} SimPL[- ]2\.?0)"""
Sleepycat," ""licen[cs]e(id|[- ]identifier| name)?[: ](Sleepycat|(.{1,32} (AND|OR)){1,4} Sleepycat)"""
SMPPL," ""licen[cs]e(id|[- ]identifier| name)?[: ](SMPPL|(.{1,32} (AND|OR)){1,4} SMPPL)"""
SNIA," ""licen[cs]e(id|[- ]identifier| name)?[: ](SNIA|(.{1,32} (AND|OR)){1,4} SNIA)"""
Spencer_86," ""licen[cs]e(id|[- ]identifier| name)?[: ](Spencer-86|(.{1,32} (AND|OR)){1,4} Spencer-86)"""
Spencer_94," ""licen[cs]e(id|[- ]identifier| name)?[: ](Spencer-94|(.{1,32} (AND|OR)){1,4} Spencer-94)"""
Spencer_99," ""licen[cs]e(id|[- ]identifier| name)?[: ](Spencer-99|(.{1,32} (AND|OR)){1,4} Spencer-99)"""
SMLNJ," ""licen[cs]e(id|[- ]identifier| name)?[: ](SMLNJ|(.{1,32} (AND|OR)){1,4} SMLNJ)"""
SugarCRM_113," ""licen[cs]e(id|[- ]identifier| name)?[: ](SugarCRM[- ]1\.?1\.?3|(.{1,32} (AND|OR)){1,4} SugarCRM[- ]1\.?1\.?3)"""
SISSL," ""licen[cs]e(id|[- ]identifier| name)?[: ](SISSL|(.{1,32} (AND|OR)){1,4} SISSL)"""
SISSL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](SISSL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} SISSL[- ]1\.?2)"""
SPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](SPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} SPL[- ]1\.?0)"""
SSH_OpenSSH," ""licen[cs]e(id|[- ]identifier| name)?[: ](SSH-OpenSSH|(.{1,32} (AND|OR)){1,4} SSH-OpenSSH)"""
SSH_short," ""licen[cs]e(id|[- ]identifier| name)?[: ](SSH-short|(.{1,32} (AND|OR)){1,4} SSH-short)"""
SSPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](SSPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} SSPL[- ]1\.?0)"""
SWL," ""licen[cs]e(id|[- ]identifier| name)?[: ](SWL|(.{1,32} (AND|OR)){1,4} SWL)"""
TAPR_OHL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](TAPR-OHL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} TAPR-OHL[- ]1\.?0)"""
TCL," ""licen[cs]e(id|[- ]identifier| name)?[: ](TCL|(.{1,32} (AND|OR)){1,4} TCL)"""
TCP_wrappers," ""licen[cs]e(id|[- ]identifier| name)?[: ](TCP-wrappers|(.{1,32} (AND|OR)){1,4} TCP-wrappers)"""
TMate," ""licen[cs]e(id|[- ]identifier| name)?[: ](TMate|(.{1,32} (AND|OR)){1,4} TMate)"""
TORQUE_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](TORQUE[- ]1\.?1|(.{1,32} (AND|OR)){1,4} TORQUE[- ]1\.?1)"""
TOSL," ""licen[cs]e(id|[- ]identifier| name)?[: ](TOSL|(.{1,32} (AND|OR)){1,4} TOSL)"""
TU_Berlin_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](TU-Berlin-1\.?0|(.{1,32} (AND|OR)){1,4} TU-Berlin-1\.?0)"""
TU_Berlin_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](TU-Berlin-2\.?0|(.{1,32} (AND|OR)){1,4} TU-Berlin-2\.?0)"""
UCL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](UCL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} UCL[- ]1\.?0)"""
Unicode_DFS_2015," ""licen[cs]e(id|[- ]identifier| name)?[: ](Unicode-DFS-2015|(.{1,32} (AND|OR)){1,4} Unicode-DFS-2015)"""
Unicode_DFS_2016," ""licen[cs]e(id|[- ]identifier| name)?[: ](Unicode-DFS-2016|(.{1,32} (AND|OR)){1,4} Unicode-DFS-2016)"""
Unicode_TOU," ""licen[cs]e(id|[- ]identifier| name)?[: ](Unicode-TOU|(.{1,32} (AND|OR)){1,4} Unicode-TOU)"""
Unlicense," ""licen[cs]e(id|[- ]identifier| name)?[: ](Unlicense|(.{1,32} (AND|OR)){1,4} Unlicense)"""
UPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](UPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} UPL[- ]1\.?0)"""
Vim," ""licen[cs]e(id|[- ]identifier| name)?[: ](Vim|(.{1,32} (AND|OR)){1,4} Vim)"""
VOSTROM," ""licen[cs]e(id|[- ]identifier| name)?[: ](VOSTROM|(.{1,32} (AND|OR)){1,4} VOSTROM)"""
VSL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](VSL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} VSL[- ]1\.?0)"""
W3C_20150513," ""licen[cs]e(id|[- ]identifier| name)?[: ](W3C-20150513|(.{1,32} (AND|OR)){1,4} W3C-20150513)"""
W3C_19980720," ""licen[cs]e(id|[- ]identifier| name)?[: ](W3C-19980720|(.{1,32} (AND|OR)){1,4} W3C-19980720)"""
W3C," ""licen[cs]e(id|[- ]identifier| name)?[: ](W3C|(.{1,32} (AND|OR)){1,4} W3C)"""
Watcom_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](Watcom[- ]1\.?0|(.{1,32} (AND|OR)){1,4} Watcom[- ]1\.?0)"""
Wsuipa," ""licen[cs]e(id|[- ]identifier| name)?[: ](Wsuipa|(.{1,32} (AND|OR)){1,4} Wsuipa)"""
WTFPL," ""licen[cs]e(id|[- ]identifier| name)?[: ](WTFPL|(.{1,32} (AND|OR)){1,4} WTFPL)"""
Xnet," ""licen[cs]e(id|[- ]identifier| name)?[: ](Xnet|(.{1,32} (AND|OR)){1,4} Xnet)"""
X11," ""licen[cs]e(id|[- ]identifier| name)?[: ](X11|(.{1,32} (AND|OR)){1,4} X11)"""
Xerox," ""licen[cs]e(id|[- ]identifier| name)?[: ](Xerox|(.{1,32} (AND|OR)){1,4} Xerox)"""
XFree86_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](XFree86[- ]1\.?1|(.{1,32} (AND|OR)){1,4} XFree86[- ]1\.?1)"""
xinetd," ""licen[cs]e(id|[- ]identifier| name)?[: ](xinetd|(.{1,32} (AND|OR)){1,4} xinetd)"""
xpp," ""licen[cs]e(id|[- ]identifier| name)?[: ](xpp|(.{1,32} (AND|OR)){1,4} xpp)"""
XSkat," ""licen[cs]e(id|[- ]identifier| name)?[: ](XSkat|(.{1,32} (AND|OR)){1,4} XSkat)"""
YPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](YPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} YPL[- ]1\.?0)"""
YPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](YPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} YPL[- ]1\.?1)"""
Zed," ""licen[cs]e(id|[- ]identifier| name)?[: ](\<Zed\>|(.{1,32} (AND|OR)){1,4} \<Zed\>)"""
Zend_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](Zend[- ]2\.?0|(.{1,32} (AND|OR)){1,4} Zend[- ]2\.?0)"""
Zimbra_13," ""licen[cs]e(id|[- ]identifier| name)?[: ](Zimbra[- ]1\.?3|(.{1,32} (AND|OR)){1,4} Zimbra[- ]1\.?3)"""
Zimbra_14," ""licen[cs]e(id|[- ]identifier| name)?[: ](Zimbra[- ]1\.?4|(.{1,32} (AND|OR)){1,4} Zimbra[- ]1\.?4)"""
Zlib," ""licen[cs]e(id|[- ]identifier| name)?[: ](Zlib|(.{1,32} (AND|OR)){1,4} Zlib)"""
zlib_acknowledgement," ""licen[cs]e(id|[- ]identifier| name)?[: ](zlib-acknowledgement|(.{1,32} (AND|OR)){1,4} zlib-acknowledgement)"""
ZPL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](ZPL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} ZPL[- ]1\.?1)"""
ZPL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](ZPL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} ZPL[- ]2\.?0)"""
ZPL_21," ""licen[cs]e(id|[- ]identifier| name)?[: ](ZPL[- ]2\.?1|(.{1,32} (AND|OR)){1,4} ZPL[- ]2\.?1)"""
389_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= 389-exception"""
Autoconf_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Autoconf-exception-2\.?0"""
Autoconf_exception_30," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Autoconf-exception-3\.?0"""
Bison_exception_22," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Bison-exception-2\.?2"""
Bootloader_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Bootloader-exception"""
Classpath_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Classpath-exception-2\.?0"""
CLISP_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= CLISP-exception-2\.?0"""
DigiRule_FOSS_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= DigiRule-FOSS-exception"""
eCos_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= eCos-exception-2\.?0"""
Fawkes_Runtime_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Fawkes-Runtime-exception"""
FLTK_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= FLTK-exception"""
Font_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Font-exception-2\.?0"""
freertos_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= freertos-exception-2\.?0"""
GCC_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= GCC-exception-2\.?0"""
GCC_exception_31," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= GCC-exception-3\.?1"""
gnu_javamail_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= gnu-javamail-exception"""
i2p_gpl_java_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= i2p-gpl-java-exception"""
Libtool_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Libtool-exception"""
Linux_syscall_note," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Linux-syscall-note"""
LLVM_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= LLVM-exception"""
LZMA_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= LZMA-exception"""
mif_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= mif-exception"""
OpenJDK_assembly_exception_10," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= OpenJDK-assembly-exception-1\.?0"""
Nokia_Qt_exception_11," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Nokia-Qt-exception-1\.?1"""
OCCT_exception_10," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= OCCT-exception-1\.?0"""
openvpn_openssl_exception," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= openvpn-openssl-exception"""
Qwt_exception_10," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= Qwt-exception-1\.?0"""
u_boot_exception_20," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= u-boot-exception-2\.?0"""
WxWindows_exception_31," ""licen[cs]e(id|[- ]identifier| name)?[: ] =SOME= WxWindows-exception-3\.?1"" ##### # SPDX END ##### "
